dataset,level,family,method,variant,accuracy,balanced_accuracy,precision_attack,macro_precision,macro_f1,weighted_f1,normal_recall,attack_recall,mcc,true_negative,false_positive,false_negative,true_positive,false_positive_rate,false_negative_rate,fp_per_10k_benign,fn_per_10k_attack,train_seconds,notes,threshold
nsl_kdd,Level 0,naive_baseline,DummyClassifier,most_frequent,0.43075762952448543,0.5,0.0,0.21537881476224272,0.3010696016121532,0.2593760558246646,1.0,0.0,0.0,9711,0,12833,0,0.0,1.0,0.0,10000.0,0.0012672500015469268,lowest meaningful benchmark,
nsl_kdd,Level 0,naive_baseline,DummyClassifier,stratified,0.49804826117814055,0.5027386458119911,0.5721213273747267,0.5026982291650386,0.4974058315272223,0.49989425010063016,0.5366079703429101,0.4688693212810722,0.005436724750297829,5211,4500,6816,6017,0.4633920296570899,0.5311306787189277,4633.920296570899,5311.306787189277,0.0010799590090755373,random label baseline preserving class balance,
nsl_kdd,Level 1,logistic_regression,LogReg,l2_C1_unweighted,0.7533711852377573,0.7743272590649317,0.9171733394516463,0.7836391033701422,0.7528907888295946,0.7513819381391682,0.9256513232416846,0.6230031948881789,0.5578886548090612,8989,722,4838,7995,0.07434867675831532,0.3769968051118211,743.4867675831532,3769.968051118211,0.3258209579944378,transparent linear classifier,
nsl_kdd,Level 1,logistic_regression,LogReg,l2_C1_balanced,0.7543914123491838,0.7750981267137375,0.9164383561643835,0.7839228925337298,0.7539535716309977,0.7525162017864372,0.92462156317578,0.6255746902516949,0.5589513605571592,8979,732,4805,8028,0.07537843682421996,0.3744253097483051,753.7843682421997,3744.253097483051,0.37003799999365583,class weighting changes false-negative pressure,
nsl_kdd,Level 1,threshold_policy,LogReg,validation_F1_threshold_0.35,0.7624645138396026,0.7816005002292425,0.9137892872952634,0.787513536155775,0.7622513745033687,0.7612655656030395,0.9197816908660282,0.643419309592457,0.5690833176403773,8932,779,4576,8257,0.08021830913397178,0.35658069040754303,802.1830913397177,3565.8069040754303,0.37003799999365583,threshold selected on validation split only,
nsl_kdd,Level 1,threshold_policy,LogReg,validation_F2_attack_weighted_0.15,0.7860184528034067,0.8008488647719771,0.9087475757885067,0.8002198693251783,0.7860153388106761,0.78612838398864,0.9079394501081248,0.6937582794358295,0.6010684049872235,8817,894,3930,8903,0.09206054989187519,0.3062417205641705,920.6054989187519,3062.4172056417046,0.37003799999365583,threshold selected on validation split only,
nsl_kdd,Level 1,logistic_regression,LogReg,l2_C0.1_balanced,0.7545244854506742,0.7753152204852876,0.9172287641477078,0.7843011255688166,0.7540748141976947,0.7526185137290202,0.9254453712285038,0.6251850697420712,0.5595441968967032,8987,724,4810,8023,0.07455462877149624,0.3748149302579288,745.5462877149624,3748.149302579288,0.15000574999430683,stronger L2 regularization,
nsl_kdd,Level 1,logistic_regression,LogReg,l1_C0.1_balanced,0.7542583392476934,0.7750563962748476,0.9169811320754717,0.7840576361152778,0.753806307202237,0.7523453920408341,0.9252394192153228,0.6248733733343723,0.559041571707222,8985,726,4814,8019,0.07476058078467716,0.3751266266656277,747.6058078467717,3751.266266656277,2.1746405419980874,sparse coefficient baseline,
nsl_kdd,Level 1,logistic_regression,LogReg,elasticnet_balanced,0.7433907026259758,0.7654731159320701,0.9142957912062074,0.7770652627494208,0.7426554660727268,0.7407505627372548,0.9249304911955515,0.6060157406685888,0.5424145227356157,8982,729,5056,7777,0.07506950880444857,0.3939842593314112,750.6950880444857,3939.8425933141116,109.50713270901178,mixed L1/L2 regularization,
nsl_kdd,Level 4,tree_family,DecisionTree,balanced_depth18,0.8067334989354152,0.8204846270896805,0.9223639625274068,0.8181763857401223,0.806693817366235,0.8070773649172589,0.9197816908660282,0.7211875633133328,0.6386568416063996,8932,779,3578,9255,0.08021830913397178,0.27881243668666716,802.1830913397177,2788.1243668666716,0.3185775830061175,single interpretable tree,
nsl_kdd,Level 4,tree_family,RandomForest,balanced_depth18,0.7632185947480482,0.7886886686423649,0.9668618412856609,0.8087391799250513,0.7618899774608461,0.7594268283096318,0.9726083822469365,0.6047689550377932,0.5970912922168555,9445,266,5072,7761,0.027391617753063535,0.3952310449622068,273.91617753063537,3952.310449622068,0.4044564170035301,bagged tree baseline,
nsl_kdd,Level 4,tree_family,ExtraTrees,balanced_depth18,0.7581618168914124,0.77872304985386,0.9196134167140421,0.7872487041385324,0.7577618984326308,0.7563988575720234,0.9271959633405417,0.6302501363671784,0.5659075362073238,9004,707,4745,8088,0.07280403665945835,0.36974986363282164,728.0403665945835,3697.4986363282164,0.42201408300024923,more randomized ensemble,
nsl_kdd,Level 4,boosting,HistGradientBoosting,default,0.7951561391057488,0.8167538712875988,0.9696969696969697,0.827119663919432,0.7947793369422256,0.7935615560369262,0.972711358253527,0.6607963843216706,0.6437900897677079,9446,265,4353,8480,0.027288641746473073,0.3392036156783293,272.88641746473076,3392.036156783293,5.621838374994695,sklearn histogram boosting baseline,
nsl_kdd,Level 4,linear_online,SGDClassifier,log_loss_balanced,0.7621540099361249,0.7817035444424921,0.9164901326792284,0.7883371473709218,0.7618960736656692,0.7608107946409215,0.9228709710637422,0.6405361178212421,0.5700020926587055,8962,749,4613,8220,0.07712902893625785,0.3594638821787579,771.2902893625785,3594.638821787579,0.5513726250064792,linear online-capable classifier,
nsl_kdd,Level 4,instance_based,KNN,k5_train_cap,0.7681422995031938,0.792925774632857,0.9665112855740923,0.8111461375063347,0.7670281751166572,0.7647970677819766,0.9718875502008032,0.6139639990649107,0.6037970631033726,9438,273,4954,7879,0.028112449799196786,0.3860360009350892,281.12449799196787,3860.360009350892,0.0024671249993843958,local-neighbour baseline capped for runtime,
nsl_kdd,Security ML,benign_only_anomaly,OneClassSVM,normal_only_nu0.05,0.7830021291696239,0.7996524557771494,0.9180793934926819,0.8013789318195379,0.7829825740623308,0.7826972888054666,0.9198846668726187,0.67942024468168,0.6010289079211368,8933,778,4114,8719,0.08011533312738132,0.32057975531831995,801.1533312738133,3205.7975531831994,0.05608179200498853,one-class boundary trained only on normal development rows; capped for runtime,
nsl_kdd,Security ML,benign_only_anomaly,AutoEncoder,normal_only_q0.95,0.8018541518807665,0.8165745800538067,0.9240673154906731,0.8154248249377656,0.801845024926156,0.8020312625228496,0.9228709710637422,0.7102781890438713,0.6319983591536251,8962,749,3718,9115,0.07712902893625785,0.28972181095612876,771.2902893625785,2897.2181095612877,0.10560104199976195,autoencoder trained only on normal development rows; threshold from normal validation errors,0.10961694578917514
