dataset,model,metric,mean,ci_low,ci_high,n_bootstrap
nsl_kdd,LogReg_l2_balanced,macro_f1,0.7520176176733131,0.7461790046478546,0.7574735311327907,300
nsl_kdd,LogReg_l2_balanced,attack_recall,0.6223407474244178,0.6136254352671199,0.6297504373082258,300
nsl_kdd,ExtraTrees_balanced,macro_f1,0.7744474611867193,0.7690612383456246,0.7799178584525267,300
nsl_kdd,ExtraTrees_balanced,attack_recall,0.6276501792646826,0.6189484162850486,0.636102842264338,300
