model,chunk_size,chunks_seen,accuracy,macro_f1,normal_recall,attack_recall
SGD_log_loss_balanced,10000,13,0.7644162526614621,0.7641803694331959,0.9240037071362373,0.6436530818982311
SGD_passive_aggressive_balanced,10000,13,0.7367814052519518,0.73583129764654,0.924827515188961,0.5944829735837295
