method,label_fraction,labelled_rows,accuracy,macro_f1,normal_recall,attack_recall
labelled_only_logreg,0.01,1259,0.727555003548616,0.7261197153037886,0.9285346514262177,0.5754694927140964
self_training_logreg,0.01,1259,0.7221877217885024,0.7204626186578837,0.9294614354855318,0.5653393594638821
labelled_only_logreg,0.05,6299,0.747959545777147,0.7474384648581531,0.9209144269385233,0.6170809631418998
self_training_logreg,0.05,6299,0.7372249822569198,0.7363831023405316,0.9213263309648851,0.5979116340684174
labelled_only_logreg,0.1,12597,0.7546575585521647,0.7542438200273012,0.9235918031098754,0.6268214758824905
self_training_logreg,0.1,12597,0.7468506032647267,0.7462409482544647,0.9237977551230563,0.6129509857398894
labelled_only_logreg,0.25,31494,0.7539921930447125,0.7535452855429304,0.92462156317578,0.6248733733343723
self_training_logreg,0.25,31494,0.7523509581263307,0.7518676014924169,0.9245185871691896,0.6220681056650822
