model,normal_quantile,threshold,accuracy,macro_f1,normal_recall,attack_recall,DoS_recall,Probe_recall,R2L_recall,U2R_recall
IsolationForest,0.9,0.3997108366749234,0.8318843151171044,0.8313889030118824,0.9026876737720111,0.7783059300241565,0.9146112600536193,0.9946303180503924,0.25060658578856154,0.5074626865671642
IsolationForest,0.95,0.42009684162233424,0.8095723917672107,0.8095109139848826,0.918854906806714,0.7268760227538378,0.8789544235924933,0.989673688558447,0.12131715771230503,0.373134328358209
IsolationForest,0.99,0.48252504813499486,0.7967973740241305,0.7963342760060428,0.9802286067346309,0.6579911166523806,0.8471849865951743,0.8500619578686494,0.02149046793760832,0.05970149253731343
LocalOutlierFactor,0.9,1.7514557492472225,0.7397533711852378,0.7397318499697645,0.8692204716301102,0.6417829034520377,0.6462466487935656,0.7914085088806279,0.5032928942807625,0.7014925373134329
LocalOutlierFactor,0.95,2.5857543797204086,0.6276171043293116,0.6159397766758306,0.9309030995777984,0.39811423673342167,0.36675603217158176,0.43040066088393225,0.44748700173310224,0.5970149253731343
LocalOutlierFactor,0.99,29.107672537002806,0.4387863733144074,0.32128885105467936,0.9922767995057151,0.01994857009272968,0.00040214477211796245,0.0,0.08492201039861352,0.11940298507462686
KMeans_distance,0.9,3.1857764534960586,0.8419091554293825,0.8413435861624956,0.9079394501081248,0.7919426478609835,0.9233243967828418,0.9719124328789757,0.30433275563258233,0.6567164179104478
KMeans_distance,0.95,3.9732336893467237,0.7887686302342086,0.7887563338156294,0.9244156111625991,0.6861217174472064,0.7760053619302949,0.899215200330442,0.2755632582322357,0.6567164179104478
KMeans_distance,0.99,8.827641384254504,0.4676188786373314,0.37580984270919754,0.9879518072289156,0.0738720486246396,0.0021447721179624667,0.16398182569186287,0.1712305025996534,0.6119402985074627
