config,epoch,train_loss,val_loss,val_macro_f1,grad_norm,lr
baseline_relu_1x64,0.0,0.3821306089137463,0.18365894258022308,0.9398460866350775,0.43854347315240416,0.001
baseline_relu_1x64,1.0,0.1295192707726296,0.11311507225036621,0.9690958209823923,0.1349356180809914,0.001
baseline_relu_1x64,2.0,0.09222983727429776,0.09369748830795288,0.9721255728390686,0.07991431193782929,0.001
baseline_relu_1x64,3.0,0.07773381535043107,0.08166930079460144,0.9726317011930256,0.06993288198050032,0.001
baseline_relu_1x64,4.0,0.06774422415393463,0.0721474289894104,0.974665052276819,0.06416157133718754,0.001
baseline_relu_1x64,5.0,0.06001118451673934,0.06428159773349762,0.9758308130055738,0.06314312436796249,0.001
baseline_relu_1x64,6.0,0.0535450834543147,0.05731803551316261,0.9766771473153313,0.0657653233947906,0.001
baseline_relu_1x64,7.0,0.047951468603408084,0.05151695758104324,0.9781902394946578,0.06262202307264855,0.001
baseline_relu_1x64,8.0,0.04334024466732715,0.04694826900959015,0.9810508870602405,0.06155934454278743,0.001
baseline_relu_1x64,9.0,0.03952969781103286,0.04317544028162956,0.9847502011730558,0.05894665737101372,0.001
baseline_relu_1x64,10.0,0.03643413173391464,0.03990866243839264,0.9867631157067612,0.06152562345279024,0.001
baseline_relu_1x64,11.0,0.03386423118571018,0.03759945556521416,0.9877708146806847,0.05822639000859666,0.001
baseline_relu_1x64,12.0,0.03158279567798401,0.03532763570547104,0.9879380484767598,0.060011482698486204,0.001
baseline_relu_1x64,13.0,0.029641409701806433,0.033634867519140244,0.9892787789958772,0.05805437310420452,0.001
activation_tanh,0.0,0.31323682405847186,0.15989311039447784,0.9514786299882045,0.4519732321830506,0.001
activation_tanh,1.0,0.12476383323999161,0.12122383713722229,0.9661054262192315,0.10528228376457031,0.001
activation_tanh,2.0,0.10228670848176834,0.10733333230018616,0.9664555453232545,0.07670472316602443,0.001
activation_tanh,3.0,0.09079360002849965,0.09669730812311172,0.9673002033340433,0.07164780787648038,0.001
activation_tanh,4.0,0.08125456129299834,0.08706753700971603,0.9676472827419347,0.07159053510490884,0.001
activation_tanh,5.0,0.07330572303939373,0.07949020713567734,0.969469640688984,0.07105498903609336,0.001
activation_tanh,6.0,0.06690916545847629,0.07290131598711014,0.969989503870893,0.07434377082167788,0.001
activation_tanh,7.0,0.061705788399310825,0.06787188351154327,0.9714991449743493,0.07737024913125849,0.001
activation_tanh,8.0,0.05760694861887617,0.06364782154560089,0.9735109700349834,0.07385976311374218,0.001
activation_tanh,9.0,0.05423473701515096,0.06030629947781563,0.9748709343265829,0.06828613373193335,0.001
activation_tanh,10.0,0.0515985766703144,0.05715985223650932,0.9772085272284363,0.07522754434575425,0.001
activation_tanh,11.0,0.04916402788713892,0.054334212094545364,0.9790575980556069,0.06888460423401062,0.001
activation_tanh,12.0,0.04682809954628031,0.051988404244184494,0.9798898769662673,0.07239781486544203,0.001
activation_tanh,13.0,0.04507874364548541,0.04984097182750702,0.9798868636077938,0.07049454225504652,0.001
activation_gelu,0.0,0.3877576643482168,0.18912023305892944,0.9348131130031487,0.411925511791351,0.001
activation_gelu,1.0,0.13314000437868403,0.11723342537879944,0.9675908398951387,0.12779369807623803,0.001
activation_gelu,2.0,0.09592596496990387,0.09842193871736526,0.970449804347483,0.07299164532029882,0.001
activation_gelu,3.0,0.08198490485231927,0.08698906749486923,0.9706252417297816,0.06314682009372305,0.001
activation_gelu,4.0,0.07270657065066885,0.07839450985193253,0.9701275419699644,0.05782318567024901,0.001
activation_gelu,5.0,0.06577270985283751,0.07170885056257248,0.9728050545443314,0.05679190380776182,0.001
activation_gelu,6.0,0.06003062958095936,0.06570658087730408,0.9744866444297631,0.05814943581502488,0.001
activation_gelu,7.0,0.05489666843192374,0.06005941703915596,0.9748265803117677,0.05643122991982927,0.001
activation_gelu,8.0,0.050299850034903976,0.055246781557798386,0.9770177358494048,0.05642299940611454,0.001
activation_gelu,9.0,0.046266267630965155,0.05087744817137718,0.9783700853249833,0.055570560329137965,0.001
activation_gelu,10.0,0.04281582608026393,0.04710092023015022,0.9805493381129795,0.05975132732790835,0.001
activation_gelu,11.0,0.039808297727970364,0.04401842877268791,0.9832382083030318,0.05666926661704449,0.001
activation_gelu,12.0,0.03710937848750581,0.041316647082567215,0.9847502011730558,0.05929975928936867,0.001
activation_gelu,13.0,0.03488377553034336,0.03907639905810356,0.9857563857683505,0.05732761478011913,0.001
dropout_0.30,0.0,0.3888299072042425,0.18713340163230896,0.9391739758712236,0.44623739636958915,0.001
dropout_0.30,1.0,0.1372538741598738,0.11471928656101227,0.9679191728879724,0.15198182457305015,0.001
dropout_0.30,2.0,0.09835567269870575,0.09489341080188751,0.9722958938457007,0.1023147664171584,0.001
dropout_0.30,3.0,0.08362985426124106,0.08347360044717789,0.9731330822545239,0.09474152041242477,0.001
dropout_0.30,4.0,0.07386893675999438,0.07460837066173553,0.9726456452272763,0.099140040100889,0.001
dropout_0.30,5.0,0.06501865458298237,0.06734676659107208,0.9754951298528733,0.0732863484386434,0.001
dropout_0.30,6.0,0.059796402032705066,0.06102641299366951,0.9765048082909833,0.07930209971171745,0.001
dropout_0.30,7.0,0.054626433258043956,0.05542752146720886,0.97633895702626,0.07846125445150315,0.001
dropout_0.30,8.0,0.04946488748363992,0.05073575675487518,0.9788658663501988,0.06972048281038061,0.001
dropout_0.30,9.0,0.04642746482599289,0.0469675175845623,0.9795378826471852,0.07059302601091405,0.001
