dataset,attribute,raw_type,encoded_feature_count,train_missing_rate,test_missing_rate,train_unique,test_unique,unseen_test_categories,train_mean,test_mean,train_std,test_std,train_test_shift_std,normal_mean,attack_mean,class_separation,max_category_attack_rate,target_corr_max_abs,target_corr_mean_abs,outlier_rate_max,outlier_rate_mean,redundant_pair_count,logreg_importance_sum,logreg_importance_max,rf_importance_sum,rf_importance_max,mutual_info_sum,mutual_info_max,importance_consensus,rank_by_consensus,audit_flags,engineering_recommendation
nsl_kdd,service,categorical,70,0.0,0.0,70,64,0,,,,,,,,0.8600098784456893,1.0,0.5623120379554511,0.07172877388233911,0.0,0.0,0,80.2819280349458,7.428958411453586,0.08946575378640988,0.0330221401321948,0.5757584658910557,0.18718375651993546,0.8382741030301939,1,strong_target_signal,Keep one-hot encoded; compare category-level attack rates before collapsing.
nsl_kdd,src_bytes,numeric,1,0.0,0.0,3341,1149,0,45566.74300048423,10395.450230660043,5870307.881889455,472775.94511236035,0.005991388097093084,13133.279331185127,82820.14132696572,0.011455394737482546,,0.005921322756114179,0.005921322756114179,0.10986481230104864,0.10986481230104864,0,0.1349010578210263,0.1349010578210263,0.15003356799547163,0.15003356799547163,0.5625236602688164,0.5625236602688164,0.6330280079314736,2,many_iqr_outliers,"Keep, but prefer robust scaling/winsorization ablation because extreme values may carry signal."
nsl_kdd,flag,categorical,11,0.0,0.0,11,11,0,,,,,,,,0.7748965530302925,1.0,0.7562860152721419,0.18128248277344094,0.0,0.0,4,21.033030773660087,4.6233497044535925,0.08308224435905007,0.05442430016982121,0.6268345800071555,0.33217049869236326,0.6052491041561138,3,highly_redundant; strong_target_signal,Keep one-hot encoded; compare category-level attack rates before collapsing.
nsl_kdd,dst_bytes,numeric,1,0.0,0.0,9326,3650,0,19779.114421344257,2056.0188076650106,4021253.190572317,21218.82698461648,0.004407356307538755,4329.685223408521,37524.48215930411,0.007964389085748473,,0.0041175350292858215,0.0041175350292858215,0.18717502956982845,0.18717502956982845,0,1.5637971309167964,1.5637971309167964,0.11565941441742784,0.11565941441742784,0.4359479229006218,0.4359479229006218,0.49528143179686457,4,many_iqr_outliers,"Keep, but prefer robust scaling/winsorization ablation because extreme values may carry signal."
nsl_kdd,same_srv_rate,numeric,1,0.0,0.0,101,75,0,0.6609276591015536,0.7403446593328601,0.43962111749493993,0.41248686571756954,0.1806487383587086,0.9693601413658436,0.30665904826880436,2.2252379094978765,,0.7519134368764367,0.7519134368764367,0.0,0.0,0,0.8012111932871295,0.8012111932871295,0.04078519538390454,0.04078519538390454,0.36169083615377406,0.36169083615377406,0.28627735242432456,5,strong_target_signal,Keep in the baseline; use ablation/permutation importance before changing it.
nsl_kdd,dst_host_srv_count,numeric,1,0.0,0.0,256,256,0,115.65300500900987,140.75053229240595,110.70230138924722,111.78149290245192,0.22671188374981568,190.28576095511042,29.92908067542214,2.132381582552455,,0.7225353705394945,0.7225353705394945,0.0,0.0,0,1.8509696571963499,1.8509696571963499,0.04259806075482432,0.04259806075482432,0.33194824172591497,0.33194824172591497,0.2788473831065125,6,strong_target_signal,Keep in the baseline; use ablation/permutation importance before changing it.
nsl_kdd,dst_host_same_srv_rate,numeric,1,0.0,0.0,101,101,0,0.5212416946488533,0.6087216110716821,0.4489475817872073,0.4356784881868768,0.19485552427876235,0.8118750278425374,0.1874173631246802,1.931757252282623,,0.6938028328316063,0.6938028328316063,0.0,0.0,0,0.8569646526934387,0.8569646526934387,0.0438310644311321,0.0438310644311321,0.3038819917903097,0.3038819917903097,0.2625347779032541,7,strong_target_signal,Keep in the baseline; use ablation/permutation importance before changing it.
nsl_kdd,diff_srv_rate,numeric,1,0.0,0.0,95,99,0,0.06305263826375493,0.09407381121362669,0.18031369182042994,0.2591318746828997,0.17204002999819337,0.028787847289250556,0.10240951731195634,0.4121733070336979,,0.20365996465885364,0.20365996465885364,0.06333896946171005,0.06333896946171005,0,0.19089432049744384,0.19089432049744384,0.02972057239132963,0.02972057239132963,0.3589706689176415,0.3589706689176415,0.25771423599791926,8,ordinary,Keep in the baseline; use ablation/permutation importance before changing it.
nsl_kdd,dst_host_serror_rate,numeric,1,0.0,0.0,101,99,0,0.28445246203551555,0.09781360894251243,0.4447822849186138,0.2731326798876393,0.4196184502428065,0.013930029847200154,0.5951772130308716,1.666853029695768,,0.6518416167164439,0.6518416167164439,0.0,0.0,4,0.08711139873243144,0.08711139873243144,0.04413293793860741,0.04413293793860741,0.28241875706196473,0.28241875706196473,0.24859544458439267,9,highly_redundant; strong_target_signal,Keep for tree baselines; test feature selection or regularization to reduce redundancy.
nsl_kdd,count,numeric,1,0.0,0.0,512,495,0,84.1075547934875,79.02834457061746,114.50815285665445,128.53639696429414,0.04435675623226911,22.517945443475938,154.8499914719427,1.3804984636635262,,0.5764442653244238,0.5764442653244238,0.025060925753931398,0.025060925753931398,0,2.06720142470446,2.06720142470446,0.0427192083561035,0.0427192083561035,0.2643238342731269,0.2643238342731269,0.24405354760318443,10,strong_target_signal,Keep in the baseline; use ablation/permutation importance before changing it.
nsl_kdd,serror_rate,numeric,1,0.0,0.0,89,88,0,0.2844845323997999,0.10292361603974452,0.4464538522984832,0.29536031066326474,0.40667342307681603,0.013440892149146906,0.5958079481494116,1.6617380227707987,,0.650652240226819,0.650652240226819,0.0,0.0,4,0.8023877892354693,0.8023877892354693,0.03015105652776619,0.03015105652776619,0.2702809081317017,0.2702809081317017,0.21404682778559006,11,highly_redundant; strong_target_signal,Keep for tree baselines; test feature selection or regularization to reduce redundancy.
nsl_kdd,dst_host_diff_srv_rate,numeric,1,0.0,0.0,101,101,0,0.08295110857088424,0.09053983321504613,0.18892105005276214,0.2207119515010172,0.04016876172370684,0.04013394116686218,0.1321313320825516,0.49277926552356766,,0.24289795853485469,0.24289795853485469,0.08374810475260572,0.08374810475260572,0,0.2107220674568118,0.2107220674568118,0.027281615548935666,0.027281615548935666,0.2816744655131176,0.2816744655131176,0.21127388189547433,12,ordinary,Keep in the baseline; use ablation/permutation importance before changing it.
nsl_kdd,dst_host_srv_serror_rate,numeric,1,0.0,0.0,100,101,0,0.27848451652338196,0.09942601135557133,0.44566735497519877,0.28186002745913546,0.40177613004159834,0.006116448628662222,0.5913291830121098,1.6782237925842345,,0.6549854452230889,0.6549854452230889,0.0,0.0,4,0.9537941216065839,0.9537941216065839,0.026844586564598046,0.026844586564598046,0.2759674886732484,0.2759674886732484,0.2103533716420484,13,highly_redundant; strong_target_signal,Keep for tree baselines; test feature selection or regularization to reduce redundancy.
nsl_kdd,srv_serror_rate,numeric,1,0.0,0.0,86,82,0,0.282485373849952,0.10363511355571327,0.44702072408148996,0.2983249905161658,0.40009388974466226,0.012083364269486066,0.593071806242538,1.6505810873713624,,0.6482888315663289,0.6482888315663289,0.0,0.0,4,2.778460595441505,2.778460595441505,0.02401974090868058,0.02401974090868058,0.260509006716483,0.260509006716483,0.20343302529991203,14,highly_redundant; strong_target_signal,Keep for tree baselines; test feature selection or regularization to reduce redundancy.
nsl_kdd,logged_in,binary_numeric,1,0.0,0.0,2,2,0,0.3957355941352512,0.4422019162526615,0.489008112069392,0.4966481465938795,0.09502157729198675,0.7106455013884145,0.034026948661095,1.9593720287135044,,0.6901707395800205,0.6901707395800205,0.0,0.0,0,0.6261602676094972,0.6261602676094972,0.017664936364953053,0.017664936364953053,0.279921545113585,0.279921545113585,0.1907010240798297,15,strong_target_signal,Keep in the baseline; use ablation/permutation importance before changing it.
nsl_kdd,dst_host_same_src_port_rate,numeric,1,0.0,0.0,101,101,0,0.14837885896184103,0.13226091199432222,0.30899590392865606,0.3062614738595722,0.05216233212994395,0.12172579184176531,0.17899283643186079,0.1839794568936966,,0.09244443089293558,0.09244443089293558,0.20065410842005826,0.20065410842005826,0,0.9534966322586029,0.9534966322586029,0.032473010951973656,0.032473010951973656,0.13256570816200708,0.13256570816200708,0.14659983782105854,16,many_iqr_outliers,"Keep, but prefer robust scaling/winsorization ablation because extreme values may carry signal."
nsl_kdd,dst_host_srv_diff_host_rate,numeric,1,0.0,0.0,75,58,0,0.03254244957252744,0.01963848474095103,0.11256335810279972,0.08539198890678801,0.11463734779298007,0.02599572338624653,0.040062084257206206,0.12239804630923484,,0.06233233826786608,0.06233233826786608,0.11692981829439641,0.11692981829439641,0,0.3084127069933413,0.3084127069933413,0.01938681113739322,0.01938681113739322,0.18942448677767154,0.18942448677767154,0.14508341900446475,17,many_iqr_outliers,"Keep, but prefer robust scaling/winsorization ablation because extreme values may carry signal."
nsl_kdd,protocol_type,categorical,3,0.0,0.0,3,3,0,,,,,,,,0.2821329949995193,0.8421179592329031,0.21718441777830375,0.15692181298479652,0.0,0.0,0,2.9495225438633685,1.4450372623348455,0.03620491851359102,0.02105245189727434,0.057509783391477054,0.026332850586092693,0.1232660089013267,18,ordinary,Keep one-hot encoded; compare category-level attack rates before collapsing.
nsl_kdd,dst_host_count,numeric,1,0.0,0.0,256,256,0,182.14894461511594,193.8694109297374,99.20581927399074,94.03357739398002,0.11814293153762878,147.43192313974725,222.02526010574792,0.8179788721259158,,0.37505209240116694,0.37505209240116694,0.0,0.0,0,0.8518229869132453,0.8518229869132453,0.015636800555482642,0.015636800555482642,0.13904702772330846,0.13904702772330846,0.11221884219709499,19,strong_target_signal,Keep in the baseline; use ablation/permutation importance before changing it.
