x,linear,linear_derivative,sigmoid,sigmoid_derivative,tanh,tanh_derivative,relu,relu_derivative,leaky_relu,leaky_relu_derivative,elu,elu_derivative,gelu,gelu_derivative_numeric
-5.0,-5.0,1.0,0.0066928509242848554,0.006648056670790155,-0.9999092042625951,0.0001815832309438603,0.0,0.0,-0.05,0.01,-0.9932620530009145,0.006737946999085467,-2.2917961972623857e-07,-1.6770584062020012e-06
-4.975,-4.975,1.0,0.006861118770482804,0.006814043819700132,-0.9999045492877631,0.000190892313635449,0.0,0.0,-0.049749999999999996,0.01,-0.9930914810605455,0.006908518939454532,-2.711060798812892e-07,-1.8217656359564967e-06
-4.95,-4.95,1.0,0.007033587154995161,0.006984115806728248,-0.9998996556706324,0.0002006785897507024,0.0,0.0,-0.0495,0.01,-0.9929165910709479,0.0070834089290521185,-3.2026790152406284e-07,-2.13456228073672e-06
-4.925,-4.925,1.0,0.007210359413019046,0.007158370130154134,-0.9998945111782082,0.00021096651569219027,0.0,0.0,-0.04925,0.01,-0.992737273720185,0.0072627262798148915,-3.778341939181251e-07,-2.4976256956521664e-06
-4.9,-4.9,1.0,0.007391541344281971,0.007336906460837741,-0.9998891029505543,0.00022178180073573195,0.0,0.0,-0.049,0.01,-0.9925534169290756,0.007446583070924338,-4.4514918630667034e-07,-2.918440179799921e-06
-4.875,-4.875,1.0,0.007577241267860811,0.007519826682629438,-0.9998834174686777,0.0002331514711579885,0.0,0.0,-0.04875,0.01,-0.99236490578114,0.007635094218859962,-5.237562029081211e-07,-3.4055077797189923e-06
-4.85,-4.85,1.0,0.007767570078015005,0.007707234933098131,-0.9998774405207668,0.00024510393764054506,0.0,0.0,-0.048499999999999995,0.01,-0.9921716224507742,0.007828377549225773,-6.154245752926223e-07,-3.968471943005561e-06
-4.825,-4.825,1.0,0.007962641301041708,0.007899237644552652,-0.9998711571667038,0.0002576690661166836,0.0,0.0,-0.04825,0.01,-0.9919734461296048,0.008026553870395154,-7.221798000583979e-07,-4.618254046018238e-06
-4.8,-4.8,1.0,0.008162571153159897,0.008095943585329498,-0.9998645517007604,0.0002708782522374831,0.0,0.0,-0.048,0.01,-0.99177025295098,0.00822974704902003,-8.463372775935341e-07,-5.367204031214747e-06
-4.775,-4.775,1.0,0.008367478599429592,0.00829746390131768,-0.9998576076123841,0.0002847644996397669,0.0,0.0,-0.04775000000000001,0.01,-0.9915619159125485,0.00843808408745153,-9.905400016191335e-07,-6.2292660638063636e-06
-4.75,-4.75,1.0,0.008577485413711984,0.008503912157689543,-0.9998503075449787,0.00029936250221151983,0.0,0.0,-0.0475,0.01,-0.9913483047968794,0.008651695203120634,-1.157800580783852e-06,-7.220160509024859e-06
-4.725,-4.725,1.0,0.008792716239674923,0.00871540438080348,-0.9998426332525774,0.00031470873055206017,0.0,0.0,-0.04725,0.01,-0.9911292860900718,0.008870713909928258,-1.3515480270703816e-06,-8.357583497320463e-06
