dataset,encoded_feature,attribute,target_corr,abs_target_corr,outlier_rate_iqr,logreg_importance,rf_importance,mutual_info,importance_consensus
nsl_kdd,src_bytes,src_bytes,0.005921322756114179,0.005921322756114179,0.10986481230104864,0.1349010578210263,0.15003356799547163,0.5625236602688164,0.6727196039403965
nsl_kdd,dst_bytes,dst_bytes,0.0041175350292858215,0.0041175350292858215,0.18717502956982845,1.5637971309167964,0.11565941441742784,0.4359479229006218,0.5854587886404078
nsl_kdd,flag_SF,flag,-0.7562860152721419,0.7562860152721419,0.0,1.874940755035458,0.05442430016982121,0.33217049869236326,0.4018769020014082
nsl_kdd,flag_S0,flag,0.6502059121015422,0.6502059121015422,0.0,4.2207366041434105,0.023067091104549273,0.26049288229029544,0.3949905548202471
nsl_kdd,dst_host_srv_count,dst_host_srv_count,-0.7225353705394945,0.7225353705394945,0.0,1.8509696571963499,0.04259806075482432,0.33194824172591497,0.37439497743739
nsl_kdd,count,count,0.5764442653244238,0.5764442653244238,0.025060925753931398,2.06720142470446,0.0427192083561035,0.2643238342731269,0.3442942987898987
nsl_kdd,same_srv_rate,same_srv_rate,-0.7519134368764367,0.7519134368764367,0.0,0.8012111932871295,0.04078519538390454,0.36169083615377406,0.3408896961473186
nsl_kdd,service_IRC,service,-0.035563089399151745,0.035563089399151745,0.0,7.428958411453586,0.0002324854365642356,0.0016869663667022916,0.3348494937720543
nsl_kdd,srv_serror_rate,srv_serror_rate,0.6482888315663289,0.6482888315663289,0.0,2.778460595441505,0.02401974090868058,0.260509006716483,0.3324024935461776
nsl_kdd,dst_host_same_srv_rate,dst_host_same_srv_rate,-0.6938028328316063,0.6938028328316063,0.0,0.8569646526934387,0.0438310644311321,0.3038819917903097,0.3159027550507523
nsl_kdd,diff_srv_rate,diff_srv_rate,0.20365996465885364,0.20365996465885364,0.06333896946171005,0.19089432049744384,0.02972057239132963,0.3589706689176415,0.28731067619020473
nsl_kdd,service_private,service,0.4497199191292219,0.4497199191292219,0.0,3.907634035596056,0.013228637182744233,0.11717196068656088,0.27415612887801877
nsl_kdd,dst_host_serror_rate,dst_host_serror_rate,0.6518416167164439,0.6518416167164439,0.0,0.08711139873243144,0.04413293793860741,0.28241875706196473,0.26931211821550666
nsl_kdd,dst_host_srv_serror_rate,dst_host_srv_serror_rate,0.6549854452230889,0.6549854452230889,0.0,0.9537941216065839,0.026844586564598046,0.2759674886732484,0.2659669257366888
nsl_kdd,serror_rate,serror_rate,0.650652240226819,0.650652240226819,0.0,0.8023877892354693,0.03015105652776619,0.2702809081317017,0.2631497890583652
nsl_kdd,service_http,service,-0.5623120379554511,0.5623120379554511,0.0,1.3324296903177761,0.0330221401321948,0.18718375651993546,0.2440705545774375
nsl_kdd,dst_host_diff_srv_rate,dst_host_diff_srv_rate,0.24289795853485469,0.24289795853485469,0.08374810475260572,0.2107220674568118,0.027281615548935666,0.2816744655131176,0.2369784140097535
nsl_kdd,logged_in,logged_in,-0.6901707395800205,0.6901707395800205,0.0,0.6261602676094972,0.017664936364953053,0.279921545113585,0.23321455985447534
nsl_kdd,flag_REJ,flag,0.1849490963139196,0.1849490963139196,0.0,4.6233497044535925,0.002004967521090923,0.016654765982752506,0.22177075519437817
nsl_kdd,num_compromised,num_compromised,-0.010198327575652092,0.010198327575652092,0.0,4.366814691236892,0.007319171832904775,0.004503090480286076,0.21486617905807592
nsl_kdd,num_root,num_root,-0.011452491337110463,0.011452491337110463,0.0,4.451851733247845,0.0002188832710966964,0.0033021662696313125,0.20219522732077885
nsl_kdd,dst_host_same_src_port_rate,dst_host_same_src_port_rate,0.09244443089293558,0.09244443089293558,0.20065410842005826,0.9534966322586029,0.032473010951973656,0.13256570816200708,0.1934831302843718
nsl_kdd,service_smtp,service,-0.21230962413751966,0.21230962413751966,0.0,3.4378790474134644,0.0005191624777916204,0.029878291139020297,0.17311411319631875
nsl_kdd,service_telnet,service,0.040069046278379525,0.040069046278379525,0.0,3.827111538012523,0.0004188844765872733,0.0,0.1726510644337961
nsl_kdd,dst_host_srv_diff_host_rate,dst_host_srv_diff_host_rate,0.06233233826786608,0.06233233826786608,0.11692981829439641,0.3084127069933413,0.01938681113739322,0.18942448677767154,0.16915730070161836
nsl_kdd,service_domain_u,service,-0.2589269891003255,0.2589269891003255,0.0,2.6277581310075853,0.006697599218830663,0.04910702101367059,0.16188553837465522
nsl_kdd,dst_host_count,dst_host_count,0.37505209240116694,0.37505209240116694,0.0,0.8518229869132453,0.015636800555482642,0.13904702772330846,0.15535627935053312
nsl_kdd,service_pop_3,service,-0.015615056476075138,0.015615056476075138,0.0,3.161110025762705,4.068780308996557e-07,0.0006732841316416938,0.14223716217128515
nsl_kdd,service_urp_i,service,-0.06396438031155124,0.06396438031155124,0.0,3.034601831798548,0.0013577947551218074,0.004329180666704513,0.14174291684976165
nsl_kdd,flag_S1,flag,-0.04911375118246757,0.04911375118246757,0.0,3.0802643374181775,0.00030081549563872777,0.001914384124359625,0.14001252107103382
nsl_kdd,flag_RSTR,flag,0.13309937010028694,0.13309937010028694,0.0,2.7627048563231913,0.002543039911933178,0.008804676079658735,0.13482836978774018
nsl_kdd,service_ecr_i,service,0.14999444995032402,0.14999444995032402,0.0,2.193742707997221,0.011617671011314298,0.013418207755001799,0.13219451163771553
nsl_kdd,service_eco_i,service,0.1660830662650993,0.1660830662650993,0.0,1.8689465944306134,0.013437811059967728,0.01614352864109936,0.12327987398528185
nsl_kdd,srv_rerror_rate,srv_rerror_rate,0.2535039621443456,0.2535039621443456,0.0,1.8480851596013885,0.005602368167483211,0.04016413220056547,0.11916946615418107
nsl_kdd,service_ftp_data,service,-0.09235000457982258,0.09235000457982258,0.0,2.123315789363295,0.00607283566112331,0.008094362293196156,0.11356065583693813
nsl_kdd,service_auth,service,0.050369511325881224,0.050369511325881224,0.0,2.2789027470276197,5.3715740874748036e-05,0.0033126608632507715,0.10433544716550741
